Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.33577471143417686,1.1117429137222177,0.2760898282694848,0.42532614840389266,1.0,42/94,30.65%,PROCR;CSF1;GMPR;C1S;IFITM2;IFI44L;BATF2;CCRL2;PSMB9;IL7;SAMD9L;IFI27;IFI35;IL15;IFI44;UBA7;BST2;LY6E;TAP1;RTP4;DDX60;RIPK2;PNPT1;B2M;CASP1;EPSTI1;CD47;CMPK2;IRF9;SAMD9;ELF1;HLA-C;PSMB8;TDRD7;PLSCR1;PARP14;EIF2AK2;CNP;MOV10;LAP3;CD74;MX1
prerank,HALLMARK_E2F_TARGETS,0.30006545835109205,1.0784715933197544,0.3128205128205128,0.4918431120450878,1.0,111/195,45.34%,BRCA2;LYAR;EED;GINS4;GINS3;HMGA1;UBE2S;DDX39A;PSIP1;DIAPH3;DSCC1;PSMC3IP;NAP1L1;CDCA3;HNRNPD;AURKB;ESPL1;NCAPD2;TK1;CENPE;CIT;TOP2A;XPO1;PRKDC;GSPT1;PLK4;MAD2L1;DCK;CKS2;POLD1;MELK;TACC3;RPA1;RAD50;DEPDC1;HMGB2;NBN;CDC25A;RFC3;BIRC5;HMMR;POLA2;UNG;TRIP13;MCM2;SMC4;KIF18B;PAN2;ORC6;CHEK1;MCM4;PAICS;CTPS1;PRIM2;MKI67;IPO7;BRMS1L;NUP205;CTCF;PDS5B;RAD21;CDK1;SPC24;TIMELESS;ILF3;ATAD2;CDKN1A;SMC6;RNASEH2A;RANBP1;SRSF1;CDKN3;CDC20;POLD3;HELLS;ING3;BRCA1;CCNB2;PNN;RAN;PA2G4;TP53;EXOSC8;STAG1;CSE1L;KIF2C;NUDT21;ASF1B;SPAG5;DCLRE1B;BUB1B;MCM3;DUT;NOLC1;CDKN2C;CDK4;ZW10;TCF19;SMC3;KPNA2;PPP1R8;SYNCRIP;CBX5;CHEK2;NASP;RFC1;PLK1;PTTG1;ORC2;SLBP;RAD51AP1
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.293877373685591,1.0579590093688234,0.33584905660377357,0.5263150871387013,1.0,73/186,30.74%,TNFAIP6;C1S;CFH;FAS;IFITM2;UPP1;XAF1;C1R;SSPN;IFI44L;CMKLR1;IL15RA;HLA-B;BATF2;IL6;PSMB9;IL7;SAMD9L;PFKP;GPR18;HLA-DRB1;MT2A;IFI27;IFI35;IL15;IFI44;HLA-A;HLA-DMA;BST2;LY6E;TAP1;PIM1;HLA-DQA1;CCL2;RTP4;DDX60;RIPK2;LATS2;PNPT1;ST8SIA4;NFKB1;B2M;CASP1;LYSMD2;OAS3;OAS2;EPSTI1;NUP93;CASP7;CMPK2;MVP;TAPBP;IRF9;CASP4;ICAM1;NLRC5;PSMB8;IFNAR2;CIITA;PML;TDRD7;SOCS3;PLSCR1;PARP14;EIF2AK2;APOL6;SOCS1;IRF8;LAP3;TNFAIP3;CD74;MX1;FCGR1A
prerank,HALLMARK_P53_PATHWAY,0.2852334642080552,1.0311000995021942,0.40226986128625475,0.5802812992073448,1.0,46/189,19.92%,TP63;SLC7A11;PROCR;ZNF365;CDH13;TGFB1;RRAD;TNFSF9;SPHK1;BMP2;CCND2;PDGFA;DRAM1;S100A4;FAS;F2R;PTPRE;UPP1;LIF;TCHH;CDK5R1;RB1;HBEGF;KLK8;HMOX1;ZMAT3;EPHA2;HSPA4L;JAG2;TCN2;OSGIN1;TAX1BP3;LDHB;PTPN14;TM7SF3;NOTCH1;TAP1;RHBDF2;WWP1;BAIAP2;CCNG1;BAX;PHLDA3;XPC;NOL8;CASP1
prerank,HALLMARK_XENOBIOTIC_METABOLISM,0.29268089325018387,1.0266082463517392,0.41740226986128626,0.5707856956622602,1.0,37/155,20.53%,GCLC;SERPINE1;IGFBP4;BCAT1;PTGDS;TPST1;CDO1;PROS1;AOX1;MAN1A1;IL1R1;FAS;AKR1C3;UPP1;APOE;XDH;SLC6A6;RBP4;GSTO1;BCAR1;NQO1;HMOX1;EPHA2;MT2A;PTGES;PTGR1;UGDH;VNN1;ENPEP;TNFRSF1A;PTS;HSD11B1;SLC12A4;PAPSS2;AP4B1;LEAP2;HACL1
prerank,HALLMARK_HYPOXIA,0.28514775046543006,1.0233314593985494,0.4172099087353325,0.5585417278283381,1.0,42/179,18.79%,SERPINE1;ACKR3;BGN;SRPX;CAV1;COL5A1;PRKCA;BCAN;GPC1;DPYSL4;TGFBI;S100A4;AKAP12;HOXB9;DCN;LOX;ADORA2B;CA12;ETS1;SLC6A6;CHST3;MT1E;IL6;PYGM;IGFBP3;HS3ST1;PFKP;HMOX1;SLC2A3;PKP1;PAM;MT2A;PLAUR;KDELR3;SAP30;TGM2;PLAC8;NR3C1;PIM1;RBPJ;EXT1;CHST2
prerank,HALLMARK_HEME_METABOLISM,0.2763446197998081,0.9778908942872885,0.49242424242424243,0.6578695531162904,1.0,52/167,29.16%,GCLC;SLC7A11;ADD2;ALDH1L1;ANK1;SPTA1;ABCG2;SNCA;AGPAT4;GYPC;CTSE;HBQ1;CLIC2;TNS1;CPOX;NNT;MINPP1;CTSB;SLC30A1;PICALM;GCLM;SLC22A4;C3;TSPAN5;ICAM4;SLC25A38;NR3C1;FTCD;SDCBP;ACKR1;DMTN;KAT2B;ENDOD1;OPTN;FOXJ2;CA2;ASNS;LRP10;CLCN3;CTNS;SLC25A37;MBOAT2;MAP2K3;XPO7;CCND3;NCOA4;TCEA1;NEK7;PC;RCL1;HTATIP2;LPIN2
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.2564700826913416,-0.9533581282111757,0.5367647058823529,0.8083153778629,0.999,27/98,25.13%,GNGT1;ADCY2;GNA14;VAV3;TIAM1;MKNK2;LCK;AKT1;SFN;GSK3B;TSC2;PTEN;SLA;PDK1;THEM4;MAPK10;SMAD2;PLCG1;PIK3R3;RIPK1;MAP2K6;IL2RG;PRKCB;E2F1;AKT1S1;NOD1;CFL1
prerank,HALLMARK_G2M_CHECKPOINT,0.2605713813282861,0.9393625060185482,0.6151930261519303,0.7389170449870743,1.0,92/190,41.47%,TGFB1;SMAD3;BRCA2;E2F4;CCND1;MT2A;HMGA1;UBE2S;DDX39A;SAP30;MEIS2;NDC80;TRAIP;RASAL2;HNRNPD;AURKB;KIF15;ESPL1;KIF11;SLC7A1;CENPE;TOP2A;XPO1;KPNB1;CCNA2;GSPT1;PLK4;MAD2L1;WRN;CKS2;TACC3;KIF20B;CUL5;EXO1;POLQ;SMC2;CDC25A;PML;BIRC5;HMMR;POLA2;CENPF;MCM2;SMC4;EFNA5;ORC6;CHEK1;KIF23;CDC45;CHMP1A;PRIM2;ODC1;PBK;FBXO5;MKI67;NCL;ORC5;UCK2;DMD;CTCF;HNRNPU;PDS5B;RAD21;CDK1;HIRA;ILF3;TNPO2;KATNA1;CDC27;G3BP1;GINS2;SRSF1;CDKN3;CDC20;DTYMK;MAPK14;CUL1;HSPA8;CDC6;CCNB2;SFPQ;UPF1;KMT5A;STAG1;NUP50;KIF2C;DBF4;MCM3;NOLC1;RBM14;CDKN2C;CCNT1
prerank,HALLMARK_SPERMATOGENESIS,-0.2521930559213923,-0.9177281010390366,0.6508474576271186,0.8606728041729239,1.0,9/81,6.60%,PCSK4;ELOVL3;NAA11;OAZ3;ALOX15;LDHC;TNNI3;MAP7;RPL39L
